time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-08-21T00:36:42.400Z,38.8341675,-122.7858353,1.74,0.78,md,14,64,0.005508,0.03,nc,nc73074706,2018-08-21T00:38:18.912Z,"6km WNW of Cobb, CA",earthquake,0.28,0.46,0.08,3,automatic,nc,nc
2018-08-21T00:33:46.630Z,44.8578,10.691,19.61,4.1,mb,,41,0.285,0.97,us,us1000gea2,2018-08-21T01:40:45.435Z,"3km WNW of Novellara, Italy",earthquake,2.9,7.7,0.3,3,reviewed,us,us
2018-08-21T00:20:04.894Z,69.4821,-144.1205,0,2,ml,,,,0.83,ak,ak20128099,2018-08-21T00:25:19.215Z,"74km SSW of Kaktovik, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-08-21T00:11:46.024Z,39.228,-120.0981,8.4,1.1,ml,21,43.6,0.03,0.1256,nn,nn00652140,2018-08-21T00:51:06.276Z,"4km WSW of Tahoe Vista, California",earthquake,,0.9,0.24,9,reviewed,nn,nn
2018-08-21T00:11:00.138Z,69.5332,-144.0654,0,2.4,ml,,,,0.6,ak,ak20127611,2018-08-21T00:26:37.040Z,"68km SSW of Kaktovik, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-08-21T00:06:50.420Z,33.4941667,-116.7956667,2.27,0.43,ml,15,77,0.01857,0.08,ci,ci38254304,2018-08-21T00:10:36.729Z,"9km NE of Aguanga, CA",earthquake,0.2,0.18,0.093,11,automatic,ci,ci
2018-08-20T23:59:49.493Z,62.1414,-151.2066,75.5,2,ml,,,,0.42,ak,ak20127604,2018-08-21T00:04:39.778Z,"60km WSW of Talkeetna, Alaska",earthquake,,0.9,,,automatic,ak,ak
2018-08-20T23:56:21.790Z,33.4958333,-116.795,3.34,0.76,ml,31,36,0.01709,0.14,ci,ci38254296,2018-08-20T23:59:53.422Z,"9km NE of Aguanga, CA",earthquake,0.18,0.45,0.082,22,automatic,ci,ci
2018-08-20T23:54:11.805Z,69.5569,-144.108,1.1,2.1,ml,,,,0.68,ak,ak20127602,2018-08-21T00:00:17.722Z,"66km SSW of Kaktovik, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-08-20T23:52:18.766Z,64.9942,-147.3602,0.1,1.3,ml,,,,0.86,ak,ak20127600,2018-08-20T23:56:26.671Z,"23km NNE of Badger, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-08-20T23:50:06.170Z,-21.8668,-67.2538,174.71,4.8,mwr,,29,1.378,0.89,us,us1000ge94,2018-08-21T00:16:25.040Z,"147km SW of Atocha, Bolivia",earthquake,7.5,6.3,,,reviewed,us,guc
2018-08-20T23:46:43.656Z,61.8692,-148.6699,104.1,1.4,ml,,,,0.8,ak,ak20127599,2018-08-20T23:50:05.161Z,"12km NE of Sutton-Alpine, Alaska",earthquake,,1,,,automatic,ak,ak
2018-08-20T23:39:00.356Z,69.5639,-144.6201,0,1.6,ml,,,,0.77,ak,ak20127594,2018-08-20T23:43:13.168Z,"74km SSW of Kaktovik, Alaska",earthquake,,0.5,,,automatic,ak,ak
